StudyHours,Attendance,PreviousMarks,SleepHours,FinalMarks
6.6,69.5,72.5,8.7,74.1
6.6,88.4,61.5,6.1,79.6
5.4,63.4,58.0,4.5,48.7
5.5,56.6,56.6,5.7,53.5
5.6,70.6,87.0,5.1,73.0
5.9,56.4,66.7,6.1,65.5
4.8,90.9,56.0,5.6,74.6
0.5,69.8,46.7,5.3,45.9
5.0,73.7,76.1,6.6,67.8
7.1,62.9,54.2,7.1,58.1
3.6,66.1,69.9,7.8,74.2
4.6,62.0,79.0,7.4,78.7
2.4,66.7,57.8,5.4,61.3
7.6,72.2,85.3,7.1,81.1
5.0,89.3,70.4,9.0,62.8
4.6,72.9,77.3,7.1,65.0
8.2,73.8,61.7,5.8,65.9
5.6,79.9,57.5,6.2,73.3
3.5,81.8,66.5,6.6,69.0
5.1,70.3,43.0,7.0,60.4
3.8,61.8,43.8,6.0,53.7
5.5,93.5,71.1,7.3,81.4
4.6,65.4,36.2,10.0,49.7
2.5,70.3,69.5,8.5,70.2
8.3,60.9,76.9,4.7,71.3
4.4,63.0,97.9,7.1,78.3
2.2,67.3,41.7,7.6,48.4
4.8,64.1,88.2,8.1,71.2
1.5,86.2,68.4,7.2,69.8
2.3,56.9,76.7,7.7,66.8
3.6,74.7,68.8,7.3,72.4
5.8,90.8,54.3,5.3,73.9
7.3,77.3,50.4,5.6,69.7
9.3,80.8,71.2,6.0,78.1
4.6,58.2,51.7,7.4,62.1
8.4,72.0,77.4,6.1,96.0
2.8,61.1,74.4,7.6,65.7
5.1,77.3,75.7,5.9,67.1
5.3,79.3,58.3,5.3,68.4
5.5,60.3,70.8,7.0,64.5
7.5,77.5,70.4,8.0,72.2
5.8,74.1,50.9,7.5,89.0
7.3,84.9,73.6,7.5,81.6
4.7,62.4,76.4,6.4,71.9
7.2,52.5,98.0,4.6,69.3
3.0,73.2,81.3,6.1,76.0
4.9,71.0,54.0,6.2,76.4
5.6,47.1,74.5,6.0,71.5
5.9,66.8,53.1,8.0,59.7
3.5,63.5,60.0,9.3,62.6
9.3,78.2,46.1,7.7,64.4
3.3,84.1,57.7,7.6,72.8
0.5,67.2,51.1,5.7,45.9
